year,track_id,track_name,artist_name,album_name,release_date,release_year,explicit,popularity,duration_sec,artist_popularity,artist_genres,duration_min,release_month,years_since_release,genre_group
2010,1tmwswvJnwOIrskyCKVsgv,Todos los días sale el sol,Bongo Botrako,Todos Los Días Sale El Sol,2010-10-31,2010,0,56,146.337,39,,2.43895,10.0,0,unknown
2010,0aiBwGPBFmcbE6TQqXPFry,Soy Como Soy,Edurne,Nueva Piel,2010-03-23,2010,0,13,220.826,42,villancicos,3.6804333333333332,3.0,0,villancicos
2010,3HVNp7El21o3gHKlYtzQFh,Abrázame Muy Fuerte,Bustamante,A Contracorriente,2010-01-01,2010,0,29,187.04,46,,3.1173333333333333,1.0,0,unknown
2010,0YiYzBAj1vxYmjOYQpMdMr,Que Nadie,Manuel Carrasco,Inercia,2008-01-01,2008,0,29,237.653,65,"flamenco, flamenco pop",3.9608833333333333,1.0,2,flamenco
2010,4TNq9oD4rENIf10uzKLVfS,Algo pequeñito,Daniel Diges,Algo pequeñito (Eurovision),2010-04-12,2010,0,28,179.906,19,,2.9984333333333333,4.0,0,unknown
2010,5AwsoZ2O4WeGxtq6dnGvAN,Lo Que no Ves,Pol 3.14,Pol 3.14,2010-06-01,2010,0,43,247.933,43,,4.132216666666666,6.0,0,unknown
2010,4e3ez19QXA5FIN60pTKTIQ,Gracias,Despistaos,Cuando empieza lo mejor,2010-04-27,2010,0,41,232.44,54,,3.874,4.0,0,unknown
2010,3cTFLbr3ixr6H5gd40mUps,Ruedan,Diego Martín,Melicia,2010-04-05,2010,0,28,202.133,36,flamenco pop,3.3688833333333332,4.0,0,flamenco pop
2010,7FXZbH91wnIsipIl6LDwkU,El Run Run (with Rosario),Estopa,X Anniversarivm,2009-11-17,2009,0,59,205.333,68,"flamenco, flamenco pop",3.4222166666666665,11.0,1,flamenco
2010,5B5d0lHXUVYJJjXXJOvgzI,El Alma En Pie,Decai,El Tren Pasa Una Vez,2010-01-01,2010,0,40,234.213,45,"flamenco pop, flamenco, flamenco urbano",3.90355,1.0,0,flamenco pop
2010,5fTOGZvrv8uXfmN9pR2UJH,Durmiendo en tu ombligo,El Arrebato,Lo Que El viento Me Dejó,2010-09-07,2010,0,21,276.413,59,"flamenco, flamenco pop",4.606883333333333,9.0,0,flamenco
2010,5alzmkzsRYR34iswlNhUcK,Estar Contigo,"Alex, Jorge Y Lena","Alex, Jorge Y Lena",2010-09-21,2010,0,53,262.933,36,,4.382216666666666,9.0,0,unknown
2010,5Tqzffefo3Ua5G9ScLAnBe,Todos los Besos,Los Rebujitos,Tras la Máscara,2016-05-20,2016,0,59,251.44,56,"flamenco, flamenco pop, flamenco urbano",4.190666666666667,5.0,-6,flamenco
2010,6IbuOIQOkrSQKJAvQo07f3,El Misterio,Fondo Flamenco,"Paren el Mundo, Que Me Bajo",2010-03-09,2010,0,48,201.773,56,"flamenco, flamenco pop",3.3628833333333334,3.0,0,flamenco
2010,3Rt7Kad7NaWCc9233pbfjB,El Mundo En Tus Manos,La Unión,Big Bang,2010-01-01,2010,0,4,257.786,59,"rock en español, latin rock",4.296433333333334,1.0,0,rock en español
2010,1pWrC1eBExAjlLYzy8GWvy,Guapa,Diego Torres,Distinto,2010-01-01,2010,0,59,203.986,64,"latin pop, colombian pop",3.399766666666667,1.0,0,latin pop
2010,1ozbWlTQASs311dSO5R6vp,Lucha De Gigantes,Love of Lesbian,Lucha De Gigantes,2010-01-01,2010,0,56,206.88,58,indie,3.448,1.0,0,indie
2010,0Fuc8WMl8xSXjb8d4M6Xqo,Chiquitita - Spanish Version,ABBA,Gracias Por La Musica (Deluxe Edition),,1980,0,60,333.133,81,,5.552216666666666,,30,unknown
2010,7z9IbN0D245JG5iokzkbDk,Ahora Tu,Malú,Guerra Fria,2010-05-08,2010,0,53,224.346,60,"flamenco pop, flamenco",3.7391,5.0,0,flamenco pop
2010,5XabCEVNbhD3tiPMFs4O30,Definitivamente Así,Sergio Dalma,Definitivamente Así,2010-01-01,2010,0,3,274.466,55,,4.574433333333333,1.0,0,unknown
2010,4Dnb5yRDXmCpcMMOQSrqOT,Cuatro elementos (feat. El Sueño de Morfeo),La Musicalité,Cuatro elementos (con El Sueño de Morfeo),2010-10-22,2010,0,32,220.621,27,,3.677016666666667,10.0,0,unknown
2010,7820J99MJU42DADC6DsMfh,Contigo en la Distancia,Pedro Guerra,Contigo En La Distancia,2010-03-02,2010,0,42,157.386,51,"trova, nueva trova, singer-songwriter, latin folk, bolero",2.6231,3.0,0,trova
2010,3A4CzIy3ALpgQQNT8xhMvM,Castillo de Arena (with Ana Cañas),David Otero,Nada-Logico,2010-09-07,2010,0,27,228.813,51,,3.81355,9.0,0,unknown
2010,2cIW52z25MLXc54EIhTR5F,Diciembre,Depedro,Nubes de papel,2010-01-01,2010,0,36,204.973,46,singer-songwriter,3.4162166666666667,1.0,0,singer-songwriter
2010,4baboKkDQ0CBpXm2c0r9aY,No puedo vivir sin ti - Versión Ikea,Coque Malla,No puedo vivir sin ti (Cancion original del anuncio de Ikea),2010-02-23,2010,0,31,183.871,49,singer-songwriter,3.0645166666666666,2.0,0,singer-songwriter
2010,0EmkcjXJkHw1fEZ2CTz9VC,Mi Lamento,Dani Martín,Pequeño,2010-10-26,2010,0,51,241.253,63,,4.020883333333333,10.0,0,unknown
2010,0iupNTdi3qoBfa9GPrKoMz,Cosas Que Suenan A...,Maldita Nerea,Es un Secreto...No Se Lo Digas a Nadie,2009-07-14,2009,0,25,275.626,55,,4.593766666666666,7.0,1,unknown
2010,6yAE92QFdMZbQ4SRGU1up2,Capitán,Miss Caffeina,Imposibilidad del fenómeno,2010-06-22,2010,0,35,215.186,50,indie,3.5864333333333334,6.0,0,indie
2010,09gB5VAjLx2bjqLtjjUZRM,Blues del pescador,Celtas Cortos,Blues del pescador (Fisherman's Blues),2010-08-02,2010,0,11,234.693,54,"celtic rock, celtic",3.91155,8.0,0,celtic rock
2010,3eK4BTtVYCtGDiwSto6uNY,Canción de amor caducada,Melendi,Volvamos a empezar (Deluxe edition),2010-10-29,2010,0,61,248.346,73,"flamenco, flamenco pop",4.1391,10.0,0,flamenco
