year,popularity,duration_sec,artist_popularity,years_since_release,explicit,is_urbano_latino,is_lanzamiento_reciente,is_artista_top,genero_electronica,genero_flamenco_raices,genero_internacional,genero_otros,genero_pop_espanol,genero_rock_indie,genero_unknown,genero_urbano_latino,temporada_invierno,temporada_otono,temporada_primavera,temporada_sin_fecha,temporada_verano
2014,0.9455394426782421,0.35520606896377827,0.5207517591850778,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2015,-0.4052938239876502,3.0197565231177075,0.3979964708154106,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015,0.06230230678131251,-0.10706825143160048,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2015,0.11425743242230836,0.3143013808577081,-0.09302468266325811,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015,-0.6131143265516336,2.392958803878489,0.7662623359244122,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2015,-0.8728899547566129,-0.25750850601417624,-0.3385352594025925,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2015,-0.3533386983466543,-0.04919533048296402,-0.7681787686964276,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015,-0.9768002060386046,-0.5695381710528297,-0.15440232684809171,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2015,0.5298984375502752,-0.999783118215123,-1.1364446338054293,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2015,-1.0287553316796005,0.1336899456876303,-2.2412422291324336,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2015,-1.4963514624485632,0.5295583289066271,-0.2157799710329253,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015,-0.09356307014167506,-0.3790978747837436,0.09110824989124267,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
